Project_ID,Project_Name,Department,Environment,Total_Budget_USD,Total_Gross_Billing_USD,Total_Credits_USD,Total_Net_Billing_USD,Total_Network_Cost_USD,Total_Amount_Spent_USD,Budget_Variance_USD
proj-001,Project_proj-001,Unallocated,Testing,843123.08,1007348.35,-42084.96,965263.39,26646.11,991909.5,-148786.42
proj-002,Project_proj-002,IT Operations,Testing,1114721.98,979673.26,-37923.38,941749.88,27573.58,969323.46,145398.52
proj-003,Project_proj-003,IT Operations,Testing,1065646.15,944788.76,-44470.36,900318.4,26330.43,926648.83,138997.32
proj-004,Project_proj-004,IT Operations,Testing,797682.25,956346.17,-42726.15,913620.02,24829.69,938449.71,-140767.46
proj-005,Project_proj-005,E-Commerce,Testing,735266.06,875903.42,-34154.48,841748.94,23269.96,865018.9,-129752.84
proj-006,Project_proj-006,Marketing,Staging,795213.91,945832.35,-36510.37,909321.98,26223.8,935545.78,-140331.87
proj-007,Project_proj-007,Human Resources,Development,830567.81,992882.09,-41857.98,951024.12,26114.49,977138.6,-146570.79
proj-008,Project_proj-008,Sales,Production,725838.01,865164.28,-35996.36,829167.92,24759.15,853927.07,-128089.06
proj-009,Project_proj-009,Sales,Sandbox,807905.49,961520.98,-38141.03,923379.95,27097.1,950477.05,-142571.56
proj-010,Project_proj-010,FinTech,Production,829239.82,992816.27,-41410.15,951406.12,24170.14,975576.26,-146336.44
proj-011,Project_proj-011,IT Operations,Sandbox,831617.93,991480.58,-36533.94,954946.64,23427.4,978374.04,-146756.11
proj-012,Project_proj-012,Data Science,Sandbox,1053925.19,930842.6,-37061.34,893781.26,22675.43,916456.69,137468.5
proj-013,Project_proj-013,IT Operations,Testing,779556.63,926715.02,-37387.37,889327.65,27797.8,917125.45,-137568.82
proj-014,Project_proj-014,Security,Development,809436.11,964008.83,-38017.86,925990.97,26286.81,952277.78,-142841.67
proj-015,Project_proj-015,Data Science,Sandbox,1040149.27,919808.86,-39845.31,879963.55,24514.08,904477.63,135671.64
proj-016,Project_proj-016,E-Commerce,Production,1028284.61,907349.44,-37646.52,869702.92,24457.61,894160.53,134124.08
proj-017,Project_proj-017,FinTech,Production,795677.98,948452.19,-36965.55,911486.64,24605.1,936091.74,-140413.76
proj-018,Project_proj-018,Research & Development,Staging,800916.92,956248.98,-39784.2,916464.78,25790.43,942255.2,-141338.28
proj-019,Project_proj-019,Unallocated,Production,800343.63,949738.31,-36208.94,913529.36,28051.37,941580.74,-141237.11
proj-020,Project_proj-020,FinTech,Production,798979.64,956159.01,-39889.49,916269.52,23706.53,939976.05,-140996.41
proj-021,Project_proj-021,Marketing,Sandbox,1066204.94,943094.84,-39115.62,903979.22,23155.51,927134.73,139070.21
proj-022,Project_proj-022,E-Commerce,Development,1114685.24,987020.22,-40503.11,946517.11,22774.4,969291.51,145393.73
proj-023,Project_proj-023,Unallocated,Development,825918.79,984803.96,-39461.77,945342.19,26326.97,971669.16,-145750.37
