Usage_Start_Date,Project_ID,SKU_ID,Location,Usage_Amount,Gross_Cost,Credits_Amount
15-02-2026,proj-019,NA,us-east4,279.63,1361.43,-136.143
06-03-2026,proj-076,sku-116,europe-west1,883.51,2339.92,0
13-11-2025,proj-037,sku-111,asia-south1,747.74,2445.39,0
25-12-2025,proj-040,sku-125,us-central1,953.08,1792.46,0
19-11-2025,proj-025,sku-129,asia-south1,330.82,489.98,0
17-05-2025,proj-047,sku-130,asia-south1,552.81,2366.91,0
29-08-2025,proj-079,NA,australia-southeast1,572.34,862.32,-172.464
15-03-2025,proj-052,sku-110,australia-southeast1,980.33,197.9,0
12-03-2025,proj-048,sku-124,australia-southeast1,75.44,602.72,-60.272
17-02-2025,proj-062,sku-118,us-east4,305.77,2075.94,0
20-04-2026,proj-003,sku-127,us-central1,190.99,509.42,0
28-03-2026,proj-041,sku-128,us-east4,268.55,987.67,-197.534
06-11-2025,proj-018,NA,australia-southeast1,485.33,683.77,0
08-05-2025,proj-022,sku-113,asia-south1,372.75,119.55,0
09-06-2025,proj-053,sku-106,us-east4,394.75,1404.3,-140.43
18-03-2026,proj-055,sku-110,europe-west1,844.23,1571.9,0
07-03-2025,proj-042,sku-127,us-east4,930.02,1977.87,0
26-03-2026,proj-003,sku-103,asia-south1,70.51,1036.66,0
26-04-2025,proj-004,sku-128,us-east4,209,353.33,0
05-03-2026,proj-055,sku-110,asia-south1,671.18,1630.39,0
13-02-2025,proj-042,sku-108,us-central1,358.71,2225.16,0
02-11-2025,proj-015,sku-100,asia-south1,254.24,299.56,0
27-12-2025,proj-027,sku-112,us-east4,295.36,456.55,-45.655
08-01-2026,proj-008,sku-105,us-east4,322.62,823,0
10-04-2026,proj-008,sku-125,us-central1,848.68,1625.74,0
10-10-2025,proj-004,sku-110,australia-southeast1,136.71,1309.54,0
28-03-2025,proj-022,sku-116,australia-southeast1,708.94,1780.92,0
04-03-2025,proj-051,sku-115,asia-south1,552.86,78.35,0
03-12-2025,proj-024,sku-113,us-central1,296.58,2026.15,0
25-02-2026,proj-068,sku-107,australia-southeast1,419.84,2468.71,0
25-03-2025,proj-048,sku-109,us-east4,256.28,116.67,0
25-11-2025,proj-010,sku-108,asia-south1,611.55,1238.54,0
28-04-2025,proj-033,sku-125,australia-southeast1,81.69,1849.79,-184.979
01-02-2025,proj-065,sku-122,australia-southeast1,5.28,1191,0
01-03-2026,proj-067,sku-103,europe-west1,627.93,1482.35,-148.235
12-06-2025,proj-074,sku-109,europe-west1,194.35,2302.32,-230.232
22-12-2025,proj-031,sku-109,us-central1,71.03,1349.61,-134.961
09-06-2025,proj-066,sku-103,asia-south1,396.84,591.49,0
28-03-2026,proj-067,sku-130,europe-west1,50.86,1846.57,0
02-03-2025,proj-065,sku-120,asia-south1,886.63,938.58,0
04-04-2025,proj-045,sku-126,us-central1,27.71,712.79,-71.279
16-02-2026,proj-035,sku-112,europe-west1,578.91,621.02,0
07-05-2025,proj-079,sku-115,us-central1,438.53,198.42,-39.684
16-10-2025,proj-013,sku-118,us-east4,672.06,2332.27,0
21-04-2025,proj-048,sku-121,europe-west1,328.22,1408.4,0
11-06-2025,proj-080,sku-101,asia-south1,155.13,2387.75,0
15-05-2026,proj-031,sku-110,asia-south1,981.84,2154.47,-430.894
09-02-2026,proj-078,sku-100,australia-southeast1,838.95,75.58,-7.558
22-01-2026,proj-007,sku-105,us-central1,860.42,618.22,0
02-03-2026,proj-011,sku-120,us-east4,250.33,788.41,-157.682
08-04-2025,proj-073,sku-101,us-central1,38.93,1224.56,-244.912
28-06-2025,,sku-101,australia-southeast1,303.34,1790.32,0
06-03-2025,proj-076,sku-102,asia-south1,537.13,1701.92,0
17-03-2025,proj-034,sku-108,australia-southeast1,326.72,2468.18,0
14-07-2025,,sku-121,asia-south1,827.89,2308.31,0
29-03-2026,proj-023,sku-111,us-central1,271.62,465.67,0
17-08-2025,proj-046,sku-113,us-east4,965.26,2149.67,0
08-10-2025,proj-078,sku-114,europe-west1,457.32,2107.34,0
16-01-2025,proj-019,sku-105,europe-west1,842.04,1437,0
08-12-2025,proj-076,sku-111,europe-west1,194.46,845.31,-169.062
07-09-2025,proj-028,sku-126,europe-west1,411.41,521.55,0
