Usage_Date,Project_ID,Source_Region,Destination_Region,Transfer_Type,Data_Volume_GB,Network_Cost
2026-05-01 00:00:00,proj-040,us-central1,asia-south1,Cloud NAT,400.31,79.68
2025-03-02 00:00:00,proj-009,asia-south1,us-central1,Intra-region Egress,473.88,10.4
2025-03-05 00:00:00,proj-026,australia-southeast1,us-central1,Cloud NAT,443.04,26.43
2025-05-19 00:00:00,proj-039,australia-southeast1,asia-south1,Cloud NAT,7.4,48.73
2026-05-12 00:00:00,proj-078,asia-south1,europe-west1,Internet Egress,43.99,4.33
2025-05-13 00:00:00,proj-006,australia-southeast1,Internet,Intra-region Egress,191.18,49.29
2025-01-16 00:00:00,proj-040,us-central1,us-east4,Cloud NAT,404.47,39.5
2025-10-24 00:00:00,proj-021,us-east4,Internet,Internet Egress,278.78,77.6
2025-06-01 00:00:00,proj-024,australia-southeast1,Internet,Inter-region Egress,92.13,17.34
2025-06-06 00:00:00,proj-079,asia-south1,asia-south1,Cloud NAT,128.1,0.04
2025-12-23 00:00:00,proj-032,us-east4,australia-southeast1,Inter-region Egress,498.19,31.87
2025-10-22 00:00:00,proj-042,US-EAST4,Internet,Inter-region Egress,70.78,9.53
2025-06-27 00:00:00,proj-065,us-central1,australia-southeast1,Load Balancing,26.03,59.22
2025-05-30 00:00:00,proj-008,us-east4,asia-south1,Internet Egress,79.48,20.52
2026-04-05 00:00:00,proj-056,us-east4,us-central1,Inter-region Egress,99.45,49.29
2026-02-15 00:00:00,proj-078,europe-west1,us-central1,Load Balancing,69.6,95.98
2025-08-17 00:00:00,proj-025,us-central1,australia-southeast1,Intra-region Egress,440.4,67.8
2026-01-25 00:00:00,proj-031,australia-southeast1,europe-west1,Inter-region Egress,328.33,93.07
2026-04-24 00:00:00,proj-020,europe-west1,europe-west1,Load Balancing,35.21,41.02
2025-04-19 00:00:00,proj-036,australia-southeast1,europe-west1,Intra-region Egress,235.74,97.42
2025-04-21 00:00:00,proj-020,australia-southeast1,us-east4,Inter-region Egress,108.71,72.83
2026-04-21 00:00:00,proj-064,us-east4,us-central1,Internet Egress,10.65,2.8
2025-04-26 00:00:00,proj-035,australia-southeast1,asia-south1,Internet Egress,388.76,11.96
2025-06-17 00:00:00,proj-035,us-east4,us-east4,Load Balancing,65.15,93.9
2025-04-09 00:00:00,proj-019,us-east4,Internet,Load Balancing,15.84,59.66
2026-02-26 00:00:00,proj-044,asia-south1,Internet,Internet Egress,372.23,15.23
2025-11-08 00:00:00,proj-056,us-east4,asia-south1,Intra-region Egress,257.1,15.23
2026-03-29 00:00:00,proj-046,europe-west1,Internet,Intra-region Egress,159.99,57.87
2025-06-21 00:00:00,proj-013,asia-south1,asia-south1,Internet Egress,153.75,11.42
2025-08-05 00:00:00,proj-021,australia-southeast1,Internet,Load Balancing,299.35,80.01
2025-06-25 00:00:00,proj-065,australia-southeast1,europe-west1,Inter-region Egress,198.26,98.94
2025-09-06 00:00:00,proj-004,australia-southeast1,us-east4,Inter-region Egress,292.06,94.42
2025-03-31 00:00:00,proj-019,us-central1,europe-west1,Intra-region Egress,360.49,51.11
2025-02-05 00:00:00,proj-078,asia-south1,australia-southeast1,Cloud NAT,362.59,7.62
2025-07-15 00:00:00,proj-072,us-east4,Internet,Load Balancing,249.17,22.62
2025-11-02 00:00:00,proj-044,us-central1,Internet,Load Balancing,441.4,82.73
2025-08-06 00:00:00,proj-068,us-central1,australia-southeast1,Internet Egress,171.9,76.08
2025-10-18 00:00:00,proj-037,us-east4,europe-west1,Intra-region Egress,198.58,75.65
2026-05-14 00:00:00,proj-031,asia-south1,us-east4,Load Balancing,487.77,50.59
2025-07-01 00:00:00,proj-001,us-east4,asia-south1,Internet Egress,197.29,77.19
2025-03-21 00:00:00,proj-058,australia-southeast1,australia-southeast1,Load Balancing,58.38,4.71
2025-05-18 00:00:00,proj-001,us-central1,Internet,Intra-region Egress,23.41,74.34
2025-01-07 00:00:00,proj-070,australia-southeast1,europe-west1,Load Balancing,2.61,79.54
2025-06-06 00:00:00,proj-046,us-central1,asia-south1,Internet Egress,171.05,19.79
2025-09-13 00:00:00,proj-009,us-east4,Internet,Cloud NAT,297.15,55.88
2026-03-22 00:00:00,proj-041,us-central1,Internet,Cloud NAT,62.97,31.16
2025-07-23 00:00:00,proj-031,europe-west1,us-east4,Intra-region Egress,108.63,32.38
2025-12-09 00:00:00,proj-051,europe-west1,asia-south1,Internet Egress,366.09,7.77
2025-03-27 00:00:00,proj-017,australia-southeast1,europe-west1,Internet Egress,354.55,39.72
2025-03-29 00:00:00,proj-071,australia-southeast1,asia-south1,Cloud NAT,317.94,83.8
2026-03-24 00:00:00,proj-058,asia-south1,us-central1,Load Balancing,493.31,78.67
2025-04-23 00:00:00,proj-021,US-EAST4,Internet,Internet Egress,2.65,96.68
2025-12-14 00:00:00,proj-045,us-east4,us-east4,Inter-region Egress,392.8,66.82
2025-08-25 00:00:00,proj-005,asia-south1,europe-west1,Load Balancing,488.22,64.2
2026-02-02 00:00:00,proj-001,us-east4,Internet,Intra-region Egress,95.71,87.24
2025-10-01 00:00:00,proj-017,europe-west1,us-central1,,307.11,30.42
2025-06-08 00:00:00,proj-022,asia-south1,europe-west1,Intra-region Egress,397.31,2.02
2025-04-07 00:00:00,proj-057,us-east4,Internet,Internet Egress,435.59,33.3
2025-01-08 00:00:00,proj-045,europe-west1,australia-southeast1,Inter-region Egress,40.37,42.31
2026-04-12 00:00:00,proj-073,us-east4,Internet,Inter-region Egress,94.44,55.8
2025-06-18 00:00:00,proj-062,asia-south1,australia-southeast1,Intra-region Egress,196.42,12.62
2025-08-25 00:00:00,proj-034,us-central1,Internet,Inter-region Egress,494.25,43.36
2025-02-16 00:00:00,proj-026,us-central1,asia-south1,Cloud NAT,370.08,60.98
2025-01-14 00:00:00,proj-071,US-EAST4,australia-southeast1,Intra-region Egress,45.46,13.03
2025-01-12 00:00:00,proj-039,us-east4,europe-west1,Internet Egress,393.87,6.44
2026-03-30 00:00:00,proj-066,asia-south1,europe-west1,Internet Egress,494.91,75.31
2026-02-11 00:00:00,proj-006,europe-west1,us-east4,Load Balancing,224.76,2.98
2025-12-04 00:00:00,proj-068,us-east4,europe-west1,Load Balancing,43.43,78.47
2025-02-15 00:00:00,proj-018,europe-west1,asia-south1,Intra-region Egress,28.51,13.62
2025-03-06 00:00:00,proj-035,us-east4,europe-west1,Load Balancing,48.82,85.15
2025-05-29 00:00:00,proj-053,australia-southeast1,australia-southeast1,Internet Egress,383.18,42.3
2025-12-24 00:00:00,proj-070,europe-west1,europe-west1,Load Balancing,109.36,68.53
2025-01-03 00:00:00,proj-070,US-EAST4,australia-southeast1,Load Balancing,51.17,57.62
2026-01-28 00:00:00,proj-050,asia-south1,asia-south1,Cloud NAT,179.53,50.4
2026-02-20 00:00:00,proj-046,us-east4,us-east4,Internet Egress,433.22,0.88
2025-01-13 00:00:00,proj-053,us-east4,europe-west1,Inter-region Egress,254.69,24.69
2025-07-02 00:00:00,proj-001,us-east4,asia-south1,Cloud NAT,190.38,80.42
2025-07-11 00:00:00,proj-011,australia-southeast1,Internet,Load Balancing,5.48,8.44
2025-11-21 00:00:00,proj-026,us-east4,us-east4,Inter-region Egress,29.69,88.28
2025-05-31 00:00:00,proj-026,us-central1,australia-southeast1,Intra-region Egress,44.16,77.27
2025-11-20 00:00:00,proj-060,asia-south1,europe-west1,Internet Egress,110.74,1.76
2025-09-01 00:00:00,proj-012,asia-south1,Internet,Internet Egress,377.49,67.83
2025-08-24 00:00:00,proj-011,australia-southeast1,asia-south1,Inter-region Egress,72.6,6.16
2025-09-02 00:00:00,proj-070,asia-south1,asia-south1,Intra-region Egress,223.58,12.17
2025-01-25 00:00:00,proj-004,us-east4,asia-south1,Internet Egress,442.25,24.54
2025-05-02 00:00:00,proj-017,us-east4,europe-west1,Load Balancing,144.63,86.72
2026-05-08 00:00:00,proj-055,us-central1,Internet,Cloud NAT,186.31,6.83
2025-02-22 00:00:00,proj-068,asia-south1,europe-west1,Cloud NAT,311.52,9.93
2026-01-01 00:00:00,proj-004,asia-south1,asia-south1,Cloud NAT,449.77,54.13
2025-01-12 00:00:00,proj-002,australia-southeast1,us-central1,Intra-region Egress,255.12,28.23
2025-08-18 00:00:00,proj-053,australia-southeast1,europe-west1,Internet Egress,262.75,26.11
2025-05-19 00:00:00,proj-048,australia-southeast1,us-central1,Internet Egress,271.9,60.97
2025-09-02 00:00:00,proj-069,us-central1,australia-southeast1,Load Balancing,45.63,4.31
2025-05-21 00:00:00,proj-030,australia-southeast1,asia-south1,Load Balancing,185.21,33.58
2025-07-11 00:00:00,proj-006,us-east4,europe-west1,Inter-region Egress,112.58,89.16
2025-02-14 00:00:00,proj-036,US-CENTRAL1,europe-west1,Inter-region Egress,381.74,96.78
2025-06-20 00:00:00,proj-063,us-central1,us-east4,Cloud NAT,237.67,32.59
2025-01-24 00:00:00,proj-073,europe-west1,europe-west1,Cloud NAT,334.49,98.41
2025-09-17 00:00:00,proj-031,us-central1,asia-south1,Load Balancing,461.91,4.3
2025-04-06 00:00:00,proj-077,asia-south1,europe-west1,Internet Egress,80.95,89.17
2025-12-06 00:00:00,proj-020,australia-southeast1,us-central1,Intra-region Egress,61.53,73.14
2025-08-30 00:00:00,proj-060,australia-southeast1,australia-southeast1,Inter-region Egress,353.86,65.51
2026-04-22 00:00:00,proj-037,asia-south1,australia-southeast1,Cloud NAT,439.86,34
2025-05-06 00:00:00,proj-063,europe-west1,us-east4,Internet Egress,122.08,10.79
2025-01-12 00:00:00,proj-077,us-east4,asia-south1,Load Balancing,125.47,67.79
